source,id,doi,title,abstract,authors,published,pdf_url,topics,journal,assigned_sectors,provenance_sources,query_sector
UNZA DSpace,oai:dspace.unza.zm:123456789/4153,,Morphological characterisation of low and high oil sunflower(Hellanthus Annuus. L.)Varieties for use in marker assisted selection,"Morphological characterization was done on three sunflower varieties; CCA81, Milika and Record in order to see morphological differences for possible use in marker assisted selection. The parameters that were looked at are leaf size, leaf shape, colour of leaves, number of leaves per plant, hairiness at top of stem, days to 50 % flowering and maturity, seed colour, presence of seed stripes, colour of seed stripes, position of seed stripes, shape of seed, weight of 100 seeds, kernel and oil percentages. Significant differences were noted in leaf size, plant height, days to 50 % flowering and maturity. Record had the highest oil percentage of 42.97, Milika 38.77 and CCA81 42.17. In the other parameters no significant differences were established. Variation among these characteristics is important because it allows for development of varieties adapted to specific environments or agro-climatic regions","Chinyundo, Anthony",2015-11-11T13:39:13Z; 2015-11-11T13:39:13Z; 2015-11-11,https://dspace.unza.zm/bitstreams/413b57db-a95c-49cf-a1d3-aabb8e52fe8d/download,Helianthus Annuus. L.; Sun flower oil; Cooking oil,,Energy,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/4153,Energy
UNZA DSpace,oai:dspace.unza.zm:123456789/3777,,Instruction based formative assessment in selected Colleges of Education in Zambia: It's use and factors affecting its use,"The purpose of the study was to evaluate the use of Instruction Based Formative Assessment in   Colleges of Education in Zambia. The objectives of the study were to establish the use of Instruction Based Formative Assessment during lectures, to determine the predominant Instruction Based Formative Assessment strategies being used and to examine factors affecting the use of Instruction Based Formative Assessment in Colleges of Education in Zambia.
The target population was Lecturers and Coordinators of Continuous Professional Development (CPD) and Open Distance Learning (CODEL) in colleges of Education in Zambia. A total of 120 respondents participated in the study. There were 100 lecturers and 20 coordinators (10 CPD, 10 CODEL). Quantitative survey research design was used to capture national wide data covering 80% of the provinces of Zambia. Data was collected using   structured questionnaires. Data was analysed using Statistical Package for Social Science (SPSS) software that generated frequencies and percentages which were used in describing distributions of single and summated variables.
The study established that: (i) Instruction Based Formative Assessment was used by both coordinators and lecturers during lectures in Colleges of Education in Zambia. However the frequency of using this type of assessment, varied among coordinators and lecturers.                (ii) The predominant   Formative Assessment technique used in Colleges of Education was the technique that involved “providing feedback that moves learners forward in their learning” while the predominant Formative Assessment activity was that which involves “getting students to peer assess their work”. (iii) The predominant factors that affected the use of Instruction Based Formative Assessment in Colleges of Education in Zambia were “time limitation” and “large class size”. In view of the findings of the study, the following recommendations were made:     (i) Administrators of colleges of education should ensure that lecturers in Colleges are given in-service training in student centred instructional and assessment strategies, which include instruction based formative assessment. (ii) Administrators of colleges of education should establish CPD policy of training and orientation of new lecturers in Instructional and assessment strategies. (iii) Ministry of Education, Science, Vocational Training and Early Education in collaboration with Colleges of Education administrators, should ensure that, learner centred Instructional and assessment strategies, with emphasis on an orientation towards formative assessment, is included as a specific component of the teaching methods training curriculum and should be included in the school experience appraisal monitoring tool.","Mwale, Fred M.",2015-04-13T07:36:13Z; 2015-04-13T07:36:13Z; 2015-04-13,https://dspace.unza.zm/bitstreams/b66d255e-13f6-4fde-a5ee-79690539dfcb/download,Educational tests and measurement; Formative Assessment; Teacher Effectiveness; Educational Accountability,,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/3777,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/7371,,"Use of scientific calculators in the teaching and learning of school mathematics: the case of one secondary school in Lusaka, Zambia.","Thesis; The use of scientific calculators in the teaching and learning process of secondary school Mathematics in the Zambian education system began in 2001. Since then, there has been lack of the Zambian context research evidence regarding the use of scientific calculators in the teaching and learning process. In this regard, the present study was intended to contribute to the knowledge about the use of scientific calculators by learners and teachers of Mathematics in secondary schools. A qualitative approach and specifically a case study design was used because it provided a systematic way of acquiring in-depth understanding of the phenomenon which was being investigated. The sample comprised of 8 teachers and 24 learners of secondary school Mathematics. The teachers were selected using a homogeneous purposive sampling technique while the learners were chosen through self-selection sampling technique. In respect of data collection, participant observation schedules, unstructured interviews, focus group discussions and a performance test were utilized. Data accessed through observations, interviews and group discussions were analyzed thematically while the data derived from the performance test was analyzed through exploration of learners’ answers to specific test questions. Analysis of the data showed that teachers of Mathematics supported the use of scientific calculators in the teaching and learning process of Mathematics. Teachers argued that calculators made learners to be over dependent on the gadget even in instances where simple computations are involved and had a salient effect of robbing learners of the necessary ability to think mathematically. Furthermore, learners demonstrated occasional lack of ability to effectively use scientific calculators, for example, in topics such as indices and fractions. This discovery suggested that learners are rarely taught the major functions of a scientific calculator or even how to operate calculators. Moreover, it was found out that teachers also lacked capacity to adequately and appropriately use the functions of scientific calculators. It is therefore recommended that schools adopt unique models of scientific calculators whose functions are easy to use by learners. In addition, subject association programs could provide opportunities for teachers to familiarize themselves with the use of scientific calculators in teaching of Mathematics.
Keywords: Scientific calculator, teaching and learning Mathematics, performance, Zambia.","Mashekwa, Mashekwa",2022-06-01T10:39:14Z; 2022-06-01T10:39:14Z; 2021,https://dspace.unza.zm/bitstreams/7b64e0ab-0096-4ceb-8d57-054bafd02292/download,Mathematics--Study and teaching; Mathematics--Study and teaching (Middle school).; Mathematics--Study and teaching (Secondary).; Calculators.; Computer-assisted instruction.,,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/7371,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/4729,,An assessment of teachers' competences in career guidance in selected Schools in Solwezi District Zambia,"M.ED; The purpose of the study was to assess the competences of teachers in Career
Guidance in selected secondary schools of Solwezi District in North Western
province of Zambia. The objectives of the study were; to establish evidence that
teachers were providing Career Guidance to learners, determine knowledge levels of
teachers who provide Career Guidance, establish competences such as; counselling
skills, ability to relate school subjects to careers and employment requirements and
attitude of teachers who provide Career Guidance, assess what motivated teachers to
provide Career Guidance and to find out the extent to which learners were satisfied
with the Career Guidance Services they were receiving in schools. The study
followed a survey design using a mixture of quantitative and qualitative methods.
Data was collected from a sample of 133 respondents and participants from seven
Secondary schools disaggregated as; 70 subject teachers, 49 learners, 7 Head
teachers and 7 Guidance teachers. Simple random sampling technique was used to
select subject teachers and learners while Purposive sampling technique was used to
select Head teachers and Guidance teachers. A Questionnaire, Focus Group
Discussion guide and Interview guide were used to collect data from subject
teachers, leaners and Head teachers and Guidance teachers respectively. Quantitative
data were analysed using descriptive statistics using Microsoft Excel while
qualitative data was analysed using thematic analysis. The research findings revealed
that: there was evidence that some teachers were providing Career Guidance to
learners which included Career guidance appearing on the school time table in some
schools, reports on career talks, conferences, and visits to work places. Concerning
knowledge levels subject teachers and some Guidance teachers had less knowledge
in Career guidance as most of them were not trained in Guidance and Counselling.
As regards competence, most teachers did not have much knowledge and skills in
Career guidance as a result they were unable to link some school subjects to careers
and employment. However, love to help learners motivated them to provide Career
Guidance. Some teachers felt it was their duty to help learners to choose, plan and
enter into their chosen careers. Concerning the extent of satisfaction, 53% of the
pupils were not satisfied by the career guidance services they received from their
teachers because they were not able to easily make career choices, prepare for their
career choices and enter them. The study therefore, recommended that Ministry of
General Education should scale up capacity building of teachers in Career Guidance.
Key words: Assessment, Competences, Career Guidance, Subject teachers.","Banda, Christopher",2017-07-25T13:51:51Z; 2017-07-25T13:51:51Z; 2016,https://dspace.unza.zm/bitstreams/2b3ba0bc-2dfb-459d-a9a3-c5110cdaeaff/download,"Counselling in Secondary Education-Solwezi, Zambia; Vocational guidance",,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/4729,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/3233,,The status of guidance and counselling provision in selected Basic Schools in Mumbwa District,"The purpose of the study was to investigate the status of guidance and counselling in seleted basic schools of Mumbwa District. The objectives of the study were to: establish the status of guidance and counseling in basic schools; determine the type of guidance and counseling services available in basic schools; establish the category of pupils who benefit most from guidance and counseling services in basic schools; and investigate challenges faced by the guidance and counseling teachers in the provision of guidance and counseling in basic schools. A survey approach was used to conduct this research. The sample size was 100 pupils and100 teachers in charge of guidance and counseling services in selected schools in Mumbwa District.The findings of this study were that: rural teachers provided guidance and counselling services; majority of pupils did not report their problems to guidance and counselling teachers but to their class teachers because they believed that the guidance and counseling teachers did not keep confidentiality; girls benefited more than boys from guidance and counseling services; grade 8 and 9 pupils benefited more than any other grade from guidance and counseling services; guidance and counseling teachers faced a lot of challenges in providing counselling services in basic schools which included non-availability of adequate guidance and counselling materials in schools for effective execution of duties, limited time allocated for counseling, lack of parental and community support, poor record keeping by the guidance and counseling teachers; lack of trained teachers in guidance and counseling, lack of office accommodation; lack of cooperation from pupils; influence of culture;  and the lack of both male and female counsellors in schools to attend to pupils needs as some cases are so confidential that they cannot be presented to the opposite sex. The study recommended that: Ministry of Education, Science, Vocational Training and Early Education should (i) employ trained full-time guidance and counselling teachers in schools (ii) provide appropriate and adequate materials for counseling purposes (iii) put in place a deliberate policy that would allow provision of guidance and counselling to lower grades in primary schools which is lacking at the moment.","Makumba, Chivuna Edward",2014-02-07T13:51:16Z; 2014-02-07T13:51:16Z; 2014-02-07,https://dspace.unza.zm/bitstreams/5bbbe7a9-854f-4e20-98ca-b8d9a6eab995/download,"Educational Counselling-Mumbwa, Zambia; Guidance Services-Primary Schools.; Counselling Services-Primary Schools.",,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/3233,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/3314,,Library Studies Exams 2008,Past Exams for the department of Library and information Studies Second Semester 2008,University of Zambia,2014-02-27T13:48:16Z; 2014-02-27T13:48:16Z; 2014-02-27,,Library and information studies; 2008; Second Semester; Exam,,Uncategorized,https://dspace.unza.zm/server/oai/request,Uncategorized
UNZA DSpace,oai:dspace.unza.zm:123456789/980,,To determine the short-term outcome of combined Ventriculoperitoneal Shunting and Myelomeningocele repair at the University Teaching Hospital,"Background and Objective: There is paucity of data on the outcome of combined VPS insertion and myelomeningocoele repair, and whether this will reduce morbidity and mortality. This study was designed to address this research question.
Method: Prospective descriptive interventional study was used and patients were recruited between January and October 2009, giving a total of 22. Information on sociodemographic, referral status, preoperative and postoperative outcome was documented and analysed.Result: Males constituted 54.7% and females 45.2% of cases. The youngest age at presentation was 1 week, the oldest was 32 weeks. The majority (90%) were referred from clinics and hospitals outside Lusaka, and most hail from poor socioeconomic backgrounds (64%). The malformation occurred in the lumbar and sacral regions in 77.4%. Most of the patients presented with normal and mild forms of neurological impairment. Ultrasound examination showed that 90% had mild findings and 9% had moderate form of hydrocephalus. All patients were shunted and had surgical closure of the sac. Postoperative complications were seen in patients who had oedamatous (59%) and infected wounds (9%). One patient had CSF leakage and later died of meningitis. Average hospital stay for all patients was 25days.Conclusion: Being the only referral hospital and the only centre with neurosurgical unit for all public institutions, children born with such defects outside Lusaka will continue being seen late.Although the sample size was small, it could show that even when they come late, a combined surgical approach can still be recommended in such patients. Most of the patients operated on recovered well postoperatively, but period of hospital stay was too","Makawa, Daniel",2012-01-12T14:39:19Z; 2012-01-12T14:39:19Z; 2012-01-12,,Ventriculoperitoneal Shunting; Myelomeningocele Repair,,Health,https://dspace.unza.zm/server/oai/request,Health
UNZA DSpace,oai:dspace.unza.zm:123456789/2198,,"Effects of bacillus thuringiensis var.Israelensis and Bacillus Sphaericus larvicides,on mosquitoe Abundance, Diversity and Distribution in Selected Areas of lusaka urban district,Zambia","Effects of Bacillus thuringiensis var. israelensis (Bti) and Bacillus sphaericus (Bs) biolarvicides, on mosquito abundance, diversity and distribution in selected areas of Lusaka urban district, Zambia, were investigated. Four study areas including parts of the dam/stream systems of the Kalikiliki/Ibex hills area; Venta/Manzi valley area; Chelstone-Zambia airways marshy ponds area, and the Chamba valley brick factory area were selected, based on their being parts of areas where the Larval Source Management (LSM) programme using Bti and Bs was being implemented by the Ministry of Health in the district.
The study hypothesised that the anopheline mosquito species, Anopheles gambiae sensu stricto, was the dominant vector of malaria in Lusaka urban district; LSM using Bti and Bs reduced the abundance and diversity of anopheline mosquito larvae in their breeding sites; and that the use of Bti and Bs affected anopheline mosquito species distribution. Study Specific objectives were to: assess the ratio of mosquito colonised habitats to potentially available habitats in the study areas before and after larviciding; identify species of mosquito larvae and adults present in the study areas before and after larviciding; assess mosquito abundance, diversity, distribution patterns and species dominance in the study areas before and after larviciding; and to compare incidences of malaria prior to and after the larviciding programme in the study areas.
Biolarvicides (Bti and Bs) were sprayed on freshwater bodies in the study areas in June and July, 2011 using Hudson X-pert pressure pumps and a fixed-wing, single-engine aircraft. Incidences of malaria prior to and after larviciding were determined by reviewing and analysing health facility records of positive malaria cases attended to by health facilities in the study areas.
None of the major malaria vectors reported for Zambia in the literature from the Anopheles gambiae sensu lato (s.l) or the An. funestus s.l were identified from the study areas. Instead three anopheline mosquito species; Anopheles coustani Laveran, An. squamosus Theobald and An. rufipes Gough, were found in the study areas. Anopheles coustani (13.5%) and An. squamosus (9.5%) were collected from all four study areas, while An. rufipes (1.1%) was only found in one study area. Prior to larviciding, culicine mosquito larvae were the most abundant (75.9%) in the study areas. No Culicidae larvae of any species were found in the freshwater bodies after larviciding. Possible reasons for the absence of known major malaria vectors from the study areas are suggested. The potential of biolarviciding as malaria vector control intervention for integration with Indoor Residual Spraying (IRS) and Insecticide Treated bed Nets (ITNs) are discussed. Incidences of malaria were higher prior to larviciding (2-17%). Positive malaria cases dropped drastically, after larviciding (2-4%), in all four study areas. However, though numerically very small, percent-wise, rises in malaria positive rates, were observed in Chainda area by second month post-larviciding but continued declining in the other areas. Possible reasons for the slight rise in the incidences of malaria were due to case importation. This study recommended the integration of Bti and Bs LSM into the Malaria Control Programme in Zambia.","Kandyata, Alister",2013-04-15T07:43:31Z; 2013-04-15T07:43:31Z; 2013-04-15,,Mosquitoes-- control--Zambia; bacillus thuringiensis; Bacillus Sphaericus,,Health,https://dspace.unza.zm/server/oai/request,Health
UNZA DSpace,oai:dspace.unza.zm:123456789/6004,,Unusual Complication of Kirschner-Wire-Fixation of Carpo-Metacarpal  Joint of the Thumb,"The article describes a rare case of injury to the flexor tendons of index finger during Kirschner.-wire-fixation of the carpo-metacarpal joint of the thumb.; A  rare  case  of injury  to  the  flexor   tendons of index   finger   during   Kirschnei-wit-e-fixation   of  the carpometacarpal  joint   of  the   thumb,   is  described. The  case  is  being  reported  for  the  greater  awareness of such hazards.  The  need for the due care and exact technique   during  similar   procedures  in  the  hand  is emphasised.; Office of Global AIDS/US Department of State.","Haque, Izhar Ui, Creator",2019-06-21T11:30:19Z; 2019-06-21T11:30:19Z; 1982-10,,Kirschner-Wire-Fixation; Carpo-Metacarpal,,Uncategorized,https://dspace.unza.zm/server/oai/request,Uncategorized
UNZA DSpace,oai:dspace.unza.zm:123456789/4575,,Factors affecting agricultural repayment among beneficiaries of the Citizens Economic Empowerment Fund,"Student Project Report; Farm credit can stimulate the transfer of technology into agriculture and hence lead to increased
crop yield, hence improving the country's food sufficiency and economic development.
However, most often than not farmers are faced with the problem o f lack of cheap affordable
credit. This study examined the factors affecting farmers in loan repayment in Lusaka district (A
case study of farmers funded by the citizens' economic empowerment commission, CEEC.)
CEEC is a government institution established by an Act of parliament. Act No. 9 of2006.
The main objective of the commission is to empower the citizens of Zambia who have been
marginalized or disadvantaged; one of the ways of achieving this goal has been through
providing access to funds. A random sample of 30 farmers funded by C E E C from Lusaka district
was used for the study. A well structured questiormaire was the main tool for data collection,
while descriptive statistics and Probit model were the main analytical techniques. Empirical
results from the Probit analysis found the level of Education, Disbursement period and years of
Farming Experience at 95 % confidence level as significant predictors of farm loan repayment,
with P values of 0.02,0.000,0.000 resp«;tively which are all less than 0.05, h&ice significant
Level of education and farming experience were positively significant while disbursement period
was found to be negatively significant. Most borrowers were females and were less than fifty
years of age; this can be attributed to the fact that the Commission fargets the women and the
youth in its Empowerment Programmes.
The study recommends that the application procedure should be revised to a simpler straight
forward and friendlier procedure especially to those of low literacy levels to encourage their
participation. Technical specialists should be employed in project appraisal and monitoring in
order to assist farmers to engage in more profitable ventures. A special repayment schedule
should be established for the sector as it is unlike the sectors with business all year round.
Therefore, policy aimed to accelerate agricultural development in the area could be successful if
these factors and problems are taken into consideration to improve participation in agricultural
credit from CEEC and indeed other finance institution","Kanema, Sarah",2017-05-10T11:40:52Z; 2017-05-10T11:40:52Z; 2011,,Agricultural credit-Zambia,,Agriculture,https://dspace.unza.zm/server/oai/request,Agriculture
